,ts_code,symbol,name,industry
1553,300108.SZ,300108,吉药控股,中成药
1554,300109.SZ,300109,新开源,化工原料
1555,300110.SZ,300110,华仁药业,化学制药
1556,300111.SZ,300111,向日葵,化学制药
1557,300112.SZ,300112,万讯自控,电器仪表
1558,300113.SZ,300113,顺网科技,互联网
1559,300114.SZ,300114,中航电测,电器仪表
1560,300115.SZ,300115,长盈精密,元器件
1561,300116.SZ,300116,保力新,电气设备
1562,300117.SZ,300117,嘉寓股份,装修装饰
1563,300118.SZ,300118,东方日升,电气设备
1564,300119.SZ,300119,瑞普生物,农业综合
1565,300120.SZ,300120,经纬辉开,元器件
1566,300121.SZ,300121,阳谷华泰,化工原料
1567,300122.SZ,300122,智飞生物,生物制药
1568,300123.SZ,300123,亚光科技,半导体
1569,300124.SZ,300124,汇川技术,电器仪表
1570,300125.SZ,300125,聆达股份,电气设备
1571,300126.SZ,300126,锐奇股份,轻工机械
1572,300127.SZ,300127,银河磁体,元器件
1573,300128.SZ,300128,锦富技术,元器件
1574,300129.SZ,300129,泰胜风能,电气设备
1575,300130.SZ,300130,新国都,IT设备
1576,300131.SZ,300131,英唐智控,元器件
1577,300132.SZ,300132,青松股份,化工原料
1578,300133.SZ,300133,华策影视,影视音像
1579,300134.SZ,300134,大富科技,通信设备
1580,300135.SZ,300135,宝利国际,化工原料
1581,300136.SZ,300136,信维通信,通信设备
1582,300137.SZ,300137,先河环保,环境保护
1583,300138.SZ,300138,晨光生物,食品
1584,300139.SZ,300139,晓程科技,元器件
1585,300140.SZ,300140,中环装备,环境保护
1586,300141.SZ,300141,和顺电气,电气设备
1587,300142.SZ,300142,沃森生物,生物制药
1588,300143.SZ,300143,盈康生命,医疗保健
1589,300144.SZ,300144,宋城演艺,旅游景点
1590,300145.SZ,300145,中金环境,专用机械
1591,300146.SZ,300146,汤臣倍健,医疗保健
1592,300147.SZ,300147,香雪制药,中成药
1593,300148.SZ,300148,天舟文化,互联网
1594,300149.SZ,300149,睿智医药,生物制药
1595,300150.SZ,300150,世纪瑞尔,软件服务
1596,300151.SZ,300151,昌红科技,机械基件
1597,300152.SZ,300152,科融环境,环境保护
1598,300153.SZ,300153,科泰电源,电气设备
1599,300154.SZ,300154,瑞凌股份,元器件
1600,300155.SZ,300155,安居宝,元器件
1601,300157.SZ,300157,恒泰艾普,石油开采
1602,300158.SZ,300158,振东制药,化学制药
1603,300159.SZ,300159,新研股份,航空
1604,300160.SZ,300160,秀强股份,玻璃
1605,300161.SZ,300161,华中数控,机床制造
1606,300162.SZ,300162,雷曼光电,元器件
1607,300163.SZ,300163,先锋新材,其他建材
1608,300164.SZ,300164,通源石油,石油开采
1609,300165.SZ,300165,天瑞仪器,电器仪表
1610,300166.SZ,300166,东方国信,软件服务
1611,300167.SZ,300167,迪威迅,通信设备
1612,300168.SZ,300168,万达信息,软件服务
1613,300169.SZ,300169,天晟新材,塑料
1614,300170.SZ,300170,汉得信息,软件服务
1615,300171.SZ,300171,东富龙,医疗保健
1616,300172.SZ,300172,中电环保,环境保护
1617,300173.SZ,300173,福能东方,轻工机械
1618,300174.SZ,300174,元力股份,化工原料
1619,300175.SZ,300175,朗源股份,食品
1620,300176.SZ,300176,派生科技,汽车配件
1621,300177.SZ,300177,中海达,通信设备
1622,300178.SZ,300178,腾邦国际,旅游服务
1623,300179.SZ,300179,四方达,矿物制品
1624,300180.SZ,300180,华峰超纤,化纤
1625,300181.SZ,300181,佐力药业,中成药
1626,300182.SZ,300182,捷成股份,软件服务
1627,300183.SZ,300183,东软载波,通信设备
1628,300184.SZ,300184,力源信息,元器件
1629,300185.SZ,300185,通裕重工,工程机械
1630,300187.SZ,300187,永清环保,环境保护
1631,300188.SZ,300188,美亚柏科,软件服务
1632,300189.SZ,300189,神农科技,种植业
1633,300190.SZ,300190,维尔利,环境保护
1634,300191.SZ,300191,潜能恒信,石油开采
1635,300192.SZ,300192,科德教育,文教休闲
1636,300193.SZ,300193,佳士科技,专用机械
1637,300194.SZ,300194,福安药业,化学制药
1638,300195.SZ,300195,长荣股份,轻工机械
1639,300196.SZ,300196,长海股份,玻璃
1640,300197.SZ,300197,铁汉生态,环境保护
1641,300198.SZ,300198,纳川股份,塑料
1642,300199.SZ,300199,翰宇药业,化学制药
1643,300200.SZ,300200,高盟新材,化工原料
1644,300201.SZ,300201,海伦哲,专用机械
1645,300202.SZ,300202,聚龙股份,IT设备
1646,300203.SZ,300203,聚光科技,环境保护
1647,300204.SZ,300204,舒泰神,生物制药
1648,300205.SZ,300205,天喻信息,元器件
1649,300206.SZ,300206,理邦仪器,医疗保健
1650,300207.SZ,300207,欣旺达,元器件
1651,300208.SZ,300208,青岛中程,电气设备
1652,300209.SZ,300209,天泽信息,软件服务
1653,300210.SZ,300210,森远股份,专用机械
1654,300211.SZ,300211,亿通科技,通信设备
1655,300212.SZ,300212,易华录,软件服务
1656,300213.SZ,300213,佳讯飞鸿,通信设备
1657,300214.SZ,300214,日科化学,化工原料
1658,300215.SZ,300215,电科院,电气设备
1659,300217.SZ,300217,东方电热,电器仪表
1660,300218.SZ,300218,安利股份,塑料
1661,300219.SZ,300219,鸿利智汇,元器件
1662,300220.SZ,300220,金运激光,元器件
1663,300221.SZ,300221,银禧科技,塑料
1664,300222.SZ,300222,科大智能,电气设备
1665,300223.SZ,300223,北京君正,半导体
1666,300224.SZ,300224,正海磁材,元器件
1667,300225.SZ,300225,金力泰,染料涂料
1668,300226.SZ,300226,上海钢联,互联网
1669,300227.SZ,300227,光韵达,元器件
1670,300228.SZ,300228,富瑞特装,化工机械
1671,300229.SZ,300229,拓尔思,软件服务
1672,300230.SZ,300230,永利股份,塑料
1673,300231.SZ,300231,银信科技,软件服务
1674,300232.SZ,300232,洲明科技,半导体
1675,300233.SZ,300233,金城医药,化学制药
1676,300234.SZ,300234,开尔新材,陶瓷
1677,300235.SZ,300235,方直科技,软件服务
1678,300236.SZ,300236,上海新阳,半导体
1679,300237.SZ,300237,美晨生态,建筑工程
1680,300238.SZ,300238,冠昊生物,医疗保健
1681,300239.SZ,300239,东宝生物,生物制药
1682,300240.SZ,300240,飞力达,仓储物流
1683,300241.SZ,300241,瑞丰光电,半导体
1684,300242.SZ,300242,佳云科技,互联网
1685,300243.SZ,300243,瑞丰高材,化工原料
1686,300244.SZ,300244,迪安诊断,医疗保健
1687,300245.SZ,300245,天玑科技,软件服务
1688,300246.SZ,300246,宝莱特,医疗保健
